MK,S,cond,RC,ctype,ER,RT
kenny,644,CON,0,d,0.028571429,392.6911765
kenny,645,CON,0,d,0.035294118,406.695122
kenny,646,CON,0,d,0.03030303,406.953125
kenny,649,CON,0,d,0.026666667,413.0547945
kenny,650,CON,0,d,0.0625,399.9888889
kenny,651,CON,0,d,0.095890411,410.1363636
kenny,652,CON,0,d,0.058252427,396.0103093
kenny,653,CON,0,d,0.109589041,410.6461538
kenny,656,CON,0,d,0.043010753,396.9438202
kenny,657,CON,0,d,0.063063063,382.4326923
kenny,658,CON,0,d,0.064935065,404.1944444
kenny,659,CON,0,d,0.025974026,443.3333333
kenny,660,CON,0,d,0.024390244,414.85
kenny,644,CON,1,d,0.25,430.5217391
kenny,645,CON,1,d,0.098901099,485.4146341
kenny,646,CON,1,d,0.155844156,495.1692308
kenny,649,CON,1,d,0.181818182,423.625
kenny,650,CON,1,d,0.142857143,390.5222222
kenny,651,CON,1,d,0.083333333,467.1666667
kenny,652,CON,1,d,0.211382114,413.9896907
kenny,653,CON,1,d,0.197530864,452.3846154
kenny,656,CON,1,d,0.053191489,446.6179775
kenny,657,CON,1,d,0.063063063,469.0865385
kenny,658,CON,1,d,0.052631579,488.7083333
kenny,659,CON,1,d,0.095238095,525.5526316
kenny,660,CON,1,d,0.101123596,454.1625
kenny,644,CON,2,d,0.178571429,460.826087
kenny,645,CON,2,d,0.136842105,524.902439
kenny,646,CON,2,d,0.1875,553.7230769
kenny,649,CON,2,d,0.111111111,449.5555556
kenny,650,CON,2,d,0.053191489,436.7640449
kenny,651,CON,2,d,0.153846154,523.9393939
kenny,652,CON,2,d,0.101851852,448.2680412
kenny,653,CON,2,d,0.144736842,523.8307692
kenny,656,CON,2,d,0.021978022,491.5730337
kenny,657,CON,2,d,0.054545455,523.0480769
kenny,658,CON,2,d,0.12195122,506.7083333
kenny,659,CON,2,d,0.117647059,572.68
kenny,660,CON,2,d,0.14893617,496.925
kenny,644,CON,0,w,0.014285714,455.8985507
kenny,645,CON,0,w,0.012048193,442.1097561
kenny,646,CON,0,w,0.044776119,442.046875
kenny,649,CON,0,w,0.026666667,402.7671233
kenny,650,CON,0,w,0.021978022,403.0898876
kenny,651,CON,0,w,0.12,487.0151515
kenny,652,CON,0,w,0.058823529,413.8333333
kenny,653,CON,0,w,0.121621622,400.6769231
kenny,656,CON,0,w,0.032608696,414.5168539
kenny,657,CON,0,w,0,440.4038462
kenny,658,CON,0,w,0.01369863,435.375
kenny,659,CON,0,w,0.025974026,429.48
kenny,660,CON,0,w,0,434.3875
kenny,644,CON,1,w,0.068493151,420.0294118
kenny,645,CON,1,w,0.012048193,442.4268293
kenny,646,CON,1,w,0.109589041,449.1230769
kenny,649,CON,1,w,0.130952381,423.7260274
kenny,650,CON,1,w,0.032608696,399.5393258
kenny,651,CON,1,w,0.084507042,457.9076923
kenny,652,CON,1,w,0.170940171,387.1752577
kenny,653,CON,1,w,0.071428571,456.3076923
kenny,656,CON,1,w,0.053191489,414.0449438
kenny,657,CON,1,w,0.063063063,423.5192308
kenny,658,CON,1,w,0.04,443.1388889
kenny,659,CON,1,w,0.05,438.7631579
kenny,660,CON,1,w,0.058823529,393.625
kenny,644,CON,2,w,0.08,472.9130435
kenny,645,CON,2,w,0.10989011,526.9135802
kenny,646,CON,2,w,0.226190476,539.0769231
kenny,649,CON,2,w,0.16091954,482.109589
kenny,650,CON,2,w,0.183486239,490.5842697
kenny,651,CON,2,w,0.261363636,506.4153846
kenny,652,CON,2,w,0.217741935,437.742268
kenny,653,CON,2,w,0.207317073,514.5230769
kenny,656,CON,2,w,0.152380952,555.1123596
kenny,657,CON,2,w,0.176,514.9320388
kenny,658,CON,2,w,0.234042553,537.1111111
kenny,659,CON,2,w,0.085365854,541.0533333
kenny,660,CON,2,w,0.129032258,468.5679012
kenny,664,MO,0,d,0,396.6296296
kenny,685,MO,0,d,0.028985507,449.1492537
kenny,699,MO,0,d,0.053191489,474.011236
kenny,713,MO,0,d,0.206896552,541.5217391
kenny,811,MO,0,d,0.008064516,430.2195122
kenny,664,MO,1,d,0.161290323,404
kenny,685,MO,1,d,0.139240506,559.0588235
kenny,699,MO,1,d,0.12745098,542.0561798
kenny,713,MO,1,d,0.303030303,549.7391304
kenny,811,MO,1,d,0.015748031,489.792
kenny,664,MO,2,d,0.1875,550.3461538
kenny,685,MO,2,d,0.094594595,590.6268657
kenny,699,MO,2,d,0.101010101,557.0786517
kenny,713,MO,2,d,0.148148148,575.6956522
kenny,811,MO,2,d,0.074074074,479.432
kenny,664,MO,0,w,0,490.8076923
kenny,685,MO,0,w,0.056338028,472.3432836
kenny,699,MO,0,w,0.101010101,457.1348315
kenny,713,MO,0,w,0.08,502.826087
kenny,811,MO,0,w,0.008,404.4112903
kenny,664,MO,1,w,0.071428571,400.1153846
kenny,685,MO,1,w,0.15,442.9852941
kenny,699,MO,1,w,0.091836735,445.5730337
kenny,713,MO,1,w,0.206896552,548.4347826
kenny,811,MO,1,w,0.046153846,383.6290323
kenny,664,MO,2,w,0.068965517,478.7407407
kenny,685,MO,2,w,0.1625,534.0447761
kenny,699,MO,2,w,0.278688525,583.5909091
kenny,713,MO,2,w,0.781818182,609.3333333
kenny,811,MO,2,w,0.080882353,479.136
kenny,663,HO,0,d,0.064516129,447.2413793
kenny,684,HO,0,d,0.056603774,403.44
kenny,698,HO,0,d,0.076923077,540.1666667
kenny,712,HO,0,d,0.375,482.2333333
kenny,810,HO,0,d,0.036363636,420.0754717
kenny,663,HO,1,d,0.064516129,479.6206897
kenny,684,HO,1,d,0.10619469,464.5049505
kenny,698,HO,1,d,0.214285714,554
kenny,712,HO,1,d,0.423076923,561.3333333
kenny,810,HO,1,d,0.036363636,453.9433962
kenny,663,HO,2,d,0.121212121,561.5862069
kenny,684,HO,2,d,0.18699187,462.28
kenny,698,HO,2,d,0.52173913,482.6363636
kenny,712,HO,2,d,0.491803279,525.7096774
kenny,810,HO,2,d,0.036363636,465.0566038
kenny,663,HO,0,w,0,470.7241379
kenny,684,HO,0,w,0.056603774,431.69
kenny,698,HO,0,w,0.625,458.8333333
kenny,712,HO,0,w,0.340425532,520.4516129
kenny,810,HO,0,w,0.018518519,436.6037736
kenny,663,HO,1,w,0.033333333,415.7931034
kenny,684,HO,1,w,0.198412698,400.2079208
kenny,698,HO,1,w,0.84,562.5
kenny,712,HO,1,w,0.6125,524.9677419
kenny,810,HO,1,w,0.129032258,432.5555556
kenny,663,HO,2,w,0.263157895,509.1785714
kenny,684,HO,2,w,0.151260504,501.3663366
kenny,698,HO,2,w,0.87628866,553
kenny,712,HO,2,w,0.763358779,595.8064516
kenny,810,HO,2,w,0.242857143,550.6415094
stan,835,CON,0,d,0.008264463,348.5
stan,836,CON,0,d,0.008130081,339.7459016
stan,837,CON,0,d,0.009009009,337.8090909
stan,838,CON,0,d,0.008928571,341.4504505
stan,841,CON,0,d,0,334.1083333
stan,842,CON,0,d,0.008,359.3629032
stan,843,CON,0,d,0.016,346.2113821
stan,844,CON,0,d,0,348.3644068
stan,845,CON,0,d,0.016,341.7398374
stan,835,CON,1,d,0.040322581,427.8907563
stan,836,CON,1,d,0.061538462,425.7295082
stan,837,CON,1,d,0.075,391.9189189
stan,838,CON,1,d,0.050847458,397.0714286
stan,841,CON,1,d,0.062992126,389.8151261
stan,842,CON,1,d,0.061538462,406.5
stan,843,CON,1,d,0.082089552,386.796748
stan,844,CON,1,d,0.048,405.6554622
stan,845,CON,1,d,0.082706767,380.9098361
stan,835,CON,2,d,0.05511811,441.9166667
stan,836,CON,2,d,0.046875,434.5901639
stan,837,CON,2,d,0.126984127,426.8181818
stan,838,CON,2,d,0.104,435.6517857
stan,841,CON,2,d,0.15,407.4789916
stan,842,CON,2,d,0.170068027,425.7868852
stan,843,CON,2,d,0.061068702,401.5203252
stan,844,CON,2,d,0.0703125,420.4705882
stan,845,CON,2,d,0.167785235,403.6935484
stan,835,CON,0,w,0.048387097,376.3389831
stan,836,CON,0,w,0.046875,343.8442623
stan,837,CON,0,w,0.026548673,339.1636364
stan,838,CON,0,w,0.059322034,350.4864865
stan,841,CON,0,w,0.047619048,348.65
stan,842,CON,0,w,0.031496063,361.6260163
stan,843,CON,0,w,0.03125,357.1209677
stan,844,CON,0,w,0,372.4621849
stan,845,CON,0,w,0,348.203252
stan,835,CON,1,w,0.055555556,439.6806723
stan,836,CON,1,w,0.031746032,449.2868852
stan,837,CON,1,w,0.043478261,429.3454545
stan,838,CON,1,w,0.097560976,473.3063063
stan,841,CON,1,w,0.024390244,400
stan,842,CON,1,w,0.03875969,427.7822581
stan,843,CON,1,w,0.0390625,395.3902439
stan,844,CON,1,w,0.032520325,391.5798319
stan,845,CON,1,w,0.024,383.3196721
stan,835,CON,2,w,0.024390244,456.3916667
stan,836,CON,2,w,0.088888889,467.9593496
stan,837,CON,2,w,0.090909091,473.6909091
stan,838,CON,2,w,0.152671756,492.9369369
stan,841,CON,2,w,0.083969466,420.8916667
stan,842,CON,2,w,0.074626866,462.983871
stan,843,CON,2,w,0.053435115,431.4596774
stan,844,CON,2,w,0.092307692,416.4576271
stan,845,CON,2,w,0.0390625,423.4878049
stan,849,MO,0,d,0,339.9365079
stan,891,MO,0,d,0,366.6774194
stan,905,MO,0,d,0,367.7864078
stan,849,MO,1,d,0.052631579,413.8095238
stan,891,MO,1,d,0.137614679,480.6276596
stan,905,MO,1,d,0.185483871,419.049505
stan,849,MO,2,d,0.080291971,420.9126984
stan,891,MO,2,d,0.196581197,502.3510638
stan,905,MO,2,d,0.21969697,452.5631068
stan,849,MO,0,w,0.031007752,348.504
stan,891,MO,0,w,0,404.7765957
stan,905,MO,0,w,0.018867925,384.5096154
stan,849,MO,1,w,0.045454545,402.8333333
stan,891,MO,1,w,0.06,502.2446809
stan,905,MO,1,w,0.128205128,457.2843137
stan,849,MO,2,w,0.038461538,440.776
stan,891,MO,2,w,0.071428571,522.8021978
stan,905,MO,2,w,0.11965812,454.631068
stan,848,HO,0,d,0,342.7894737
stan,890,HO,0,d,0,349.4482759
stan,904,HO,0,d,0.011111111,360.7191011
stan,848,HO,1,d,0,401.6315789
stan,890,HO,1,d,0,446.7
stan,904,HO,1,d,0.091836735,434.0898876
stan,848,HO,2,d,0.269230769,450.3157895
stan,890,HO,2,d,0.256410256,425.3793103
stan,904,HO,2,d,0.144230769,478.5955056
stan,848,HO,0,w,0.047619048,360.3
stan,890,HO,0,w,0.090909091,369.5
stan,904,HO,0,w,0,376.3370787
stan,848,HO,1,w,0.387096774,436.2631579
stan,890,HO,1,w,0.09375,417.5862069
stan,904,HO,1,w,0.118811881,466.1011236
stan,848,HO,2,w,0.424242424,436.5263158
stan,890,HO,2,w,0.064516129,420.2068966
stan,904,HO,2,w,0.091836735,506.0561798
mp7,4,CON,0,d,0.015873016,422.7419355
mp7,5,CON,0,d,0.045801527,426.216
mp7,6,CON,0,d,0.030534351,440.2913386
mp7,7,CON,0,d,0.03030303,438.6875
mp7,4,CON,1,d,0.067669173,474.75
mp7,5,CON,1,d,0.100719424,451.208
mp7,6,CON,1,d,0.111111111,519.6328125
mp7,7,CON,1,d,0.118055556,492.7874016
mp7,4,CON,2,d,0.21656051,470.0162602
mp7,5,CON,2,d,0.11971831,468.824
mp7,6,CON,2,d,0.174193548,531.9140625
mp7,7,CON,2,d,0.130136986,496.7086614
mp7,4,CON,0,w,0.015873016,386.7903226
mp7,5,CON,0,w,0.060150376,392.664
mp7,6,CON,0,w,0.007751938,416.765625
mp7,7,CON,0,w,0.015503876,398.2598425
mp7,4,CON,1,w,0.03125,330.7580645
mp7,5,CON,1,w,0,337.416
mp7,6,CON,1,w,0.023076923,370.6771654
mp7,7,CON,1,w,0.037878788,355.6377953
mp7,4,CON,2,w,0.067669173,404.7258065
mp7,5,CON,2,w,0.080882353,373.376
mp7,6,CON,2,w,0.045112782,462.8188976
mp7,7,CON,2,w,0.066176471,437.1023622
mp7,39,MO,0,d,0.205298013,440.1916667
mp7,53,MO,0,d,0.063492063,385.8898305
mp7,130,MO,0,d,0.06779661,402.4818182
mp7,39,MO,1,d,0.245283019,496.4333333
mp7,53,MO,1,d,0.15,411.605042
mp7,130,MO,1,d,0.084033613,481.8623853
mp7,39,MO,2,d,0.205298013,450.15
mp7,53,MO,2,d,0.220779221,411.2416667
mp7,130,MO,2,d,0.246575342,481.9636364
mp7,39,MO,0,w,0.142857143,421.7083333
mp7,53,MO,0,w,0.07751938,352.4789916
mp7,130,MO,0,w,0.06779661,366.7818182
mp7,39,MO,1,w,0.156028369,354.512605
mp7,53,MO,1,w,0.07751938,335.7478992
mp7,130,MO,1,w,0.043478261,351.1454545
mp7,39,MO,2,w,0.230769231,451.9166667
mp7,53,MO,2,w,0.28742515,373.5966387
mp7,130,MO,2,w,0.198529412,378.9082569
mp7,38,HO,0,d,0.140625,462.9090909
mp7,52,HO,0,d,0.04,379.7916667
mp7,129,HO,0,d,0.230769231,475.2
mp7,38,HO,1,d,0.27027027,495.7407407
mp7,52,HO,1,d,0.414634146,446.6666667
mp7,129,HO,1,d,0.153846154,626
mp7,38,HO,2,d,0.294871795,479.9636364
mp7,52,HO,2,d,0.076923077,415.4166667
mp7,129,HO,2,d,0.78,598.6363636
mp7,38,HO,0,w,0.202898551,452.8
mp7,52,HO,0,w,0.111111111,378.375
mp7,129,HO,0,w,0.153846154,400.0909091
mp7,38,HO,1,w,0.28,394.962963
mp7,52,HO,1,w,0.465116279,369
mp7,129,HO,1,w,0.523809524,487.4
mp7,38,HO,2,w,0.419354839,439.4444444
mp7,52,HO,2,w,0.172413793,474.625
mp7,129,HO,2,w,0.545454545,518.5
kenny,881,Both,0,d,0,443.34375
kenny,896,Both,0,d,0.025,478.7948718
kenny,909,Both,0,d,0.028571429,475.9264706
kenny,881,Both,1,d,0.226190476,475.1384615
kenny,896,Both,1,d,0.081395349,534.8734177
kenny,909,Both,1,d,0.19047619,548.7941176
kenny,881,Both,2,d,0.305263158,497.5606061
kenny,896,Both,2,d,0.195876289,523.8974359
kenny,909,Both,2,d,0.160493827,589.1470588
kenny,881,Both,0,w,0.029850746,428.9230769
kenny,896,Both,0,w,0.036585366,461.4303797
kenny,909,Both,0,w,0.042253521,479.0147059
kenny,881,Both,1,w,0.144736842,452.0923077
kenny,896,Both,1,w,0.070588235,449.2911392
kenny,909,Both,1,w,0.1375,473.6956522
kenny,881,Both,2,w,0.326530612,514
kenny,896,Both,2,w,0.131868132,534.7848101
kenny,909,Both,2,w,0.055555556,531.4117647
stan,1073,Both,0,d,0,348.6741573
stan,1088,Both,0,d,0,378.3504274
stan,1101,Both,0,d,0.018518519,397.2264151
stan,1073,Both,1,d,0.081632653,410.7888889
stan,1088,Both,1,d,0.106870229,436.8461538
stan,1101,Both,1,d,0.116666667,479.9245283
stan,1073,Both,2,d,0.144230769,487.9325843
stan,1088,Both,2,d,0.145985401,460.4786325
stan,1101,Both,2,d,0.158730159,512.5660377
stan,1073,Both,0,w,0,371.6404494
stan,1088,Both,0,w,0,386.5299145
stan,1101,Both,0,w,0.018518519,429.0849057
stan,1073,Both,1,w,0.118811881,468.2022472
stan,1088,Both,1,w,0.064516129,444.8965517
stan,1101,Both,1,w,0.070175439,538.3867925
stan,1073,Both,2,w,0.12745098,467.9438202
stan,1088,Both,2,w,0.107692308,483.9655172
stan,1101,Both,2,w,0.109243697,559.8584906
mp7,200,Both,0,d,0.032967033,446.8977273
mp7,215,Both,0,d,0.045801527,435.608
mp7,228,Both,0,d,0.03539823,459.1559633
mp7,200,Both,1,d,0.073684211,447.2613636
mp7,215,Both,1,d,0.125874126,440.4
mp7,228,Both,1,d,0.060869565,440.0462963
mp7,200,Both,2,d,0.237288136,505.9111111
mp7,215,Both,2,d,0.149659864,459.416
mp7,228,Both,2,d,0.226277372,473.5283019
mp7,200,Both,0,w,0.072916667,441.0337079
mp7,215,Both,0,w,0.045801527,395.992
mp7,228,Both,0,w,0.053097345,433.1121495
mp7,200,Both,1,w,0.12745098,406.4269663
mp7,215,Both,1,w,0.060150376,373.92
mp7,228,Both,1,w,0.068965517,403.5092593
mp7,200,Both,2,w,0.117647059,435.1111111
mp7,215,Both,2,w,0.125874126,386.352
mp7,228,Both,2,w,0.027027027,386.0833333